AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WEATHER REPORT,INFORMED AS PER THE REPORTS PROVIDED
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED TO SPRAY PENDIMITHALIN 15 LTRACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR GALLMIDGE DAMAGE,RECOMMENDED TO APPLY CARBOFURON GRANULES 10KGSACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WEATHER REPORT,GIVEN THE WEATHER REPORT TO THE FARMER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO SPRAY ETHOPENPHOS 15mllit OR CARBARIL3glit OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT FERTILIZER DOSAGE IN ONION,RECOMMENDED TO APPLY N-60 P-30 K-24 KGACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT INFORMATION ON POULTRY,ESC TO AH
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR LEAF FOLDER DAMAGE,RECOMMENDED TO SPRAY CHLOROPYRIPOS 25MLLITRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT WEATHER DATA,answer given as per data
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT WEATHER DATA,ANSWER GIVEN AS PER DATA
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 06GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT INFORMATION ON NFSM,ESC TO COA
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF FERTILIZER DOSAGE IN MAIZE,RECOMMENDED TO APPLY N-40KGP-20KGK-16KGACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO SPRAY PIPRONYL 2mlMANCOZEB 3g PER LIT OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF WEATHER DATA,ANSWER GIVEN AS PER DATA
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR LEAF FOLDER,RECOMMENDED TO SPRAY ACEPHATE 15GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF RICE STEM BORER,RECOMMENDED TO SPRAY CARBOFURAN GRANULES 8KGACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR GALLMIDGE DAMAGE,RECOMMENDED TO APPLY CARBOFURAN GRANULES 160GR CENT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL WEEDS IN TERMERIC,RECOMMENDED TO SPRAY GLYCOCATE 8MLLTAMMONIUM SULPHATE 20GMUREA 15GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCO CATERPILLAR,RECOMMENDED FOR THE APPLICATION OF ENDOSULPHAN 2 MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR BLIGHT,RECOMMENDED TO SPRAY KAVACH 2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR GALL MIDGE DAMAGE,RECOMMENDED TO APPLY CARBOFURON GRANULES 10KGS PER ACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF LEAF YELLOWING,RECOMMENDED TO APPLY ANNABHEDHI 1KG200GM CITRIC ACID IN 200 LT WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF RICE STEM BORRER,RECOMENDED TO SPRAY CARTAPHYDROCHLORIDE 2 GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THRIPS CONTROL,RECOMENDED FOR MONOCROTOPAS 16MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARITIES,SUGGESTED TO GROW LRG-4130 AND WRG-27
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF PEST,RECOMENDED FOR THE APPLICATION OF MONOCROTOPOS10MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF WEEDS IN PADDY,RECOMMENDED TO SPRAY BUTACHLORE 1LTACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMENDED FOR THE APPLICATION OF QUNOLPHOS2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED FOR THE APPLICATION OF BENTHIOCARP 15 LTRACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED FOR THE APPLICATION OF ACEPHATE 15GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 06GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED FOR THE APPLICATION OF BENTHIOCARP 15 LTRACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE FERTILISER DOSAGE,RECOMMENDED TO APPLY 30G OF UREA AND POTASH TO EVERY PLANT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF LEAF BLIGHT,RECOMMENDED TO SPRAY MANCOZEB3GLIT OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARITES,INFORMED TO USE MODERNDRSF108
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE GROWING SESSON AND VARIETIES,RECOMMENDED TO RAISE THE CROP IN OCT 2ND WEEK TO SEP 1ST WEEKKUFRI BADSHA IS RECOMMENDED
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE GROWING SESSON AND VARIETIES,RECOMMENDED TO RAISE THE CROP IN OCT 2ND WEEK TO SEP 1ST WEEKKUFRI BADSHA IS RECOMMENDED
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CHLORIPYRIPHOS  25mllit OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED FOR THE APPLICATION OF TRICYCLOZOLE 06GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONAZOLE  2mllit OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO SPRAY CARBORYL  600gacre OR PHOSALONE  400mlacre
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED FOR THE APPLICATION OF HEXACONOZOLE 1MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE APPLICATION OF FERTILIZERS,RECOMENDED FOR THE APPLICATION OF 20kg NITROGEN 8kg POTASH
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WHITE FLY,RECOMMENDED TO SPRAY PROFENOPHOS 2 MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF LEAF FOLDER,RECOMMENDED TO SPRAY MONOCROTOPHOS  15mllit OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES,RECOMMENDED VARIETIES ARE CSH-5913NADYAL TELAJONA-12CSV14R
AGRICULTURE,MADHYA PRADESH,ASKED CONTROL OF THRIPS,RECOMMENDED FOR THE APPLICATION OF DIMETHOATE 2ML AND MONCOZEB 3GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF ROOT GRUB,RECOMMENDED TO APPLY PHORATE 10 GRANULES  5kgacre
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDE3D TO SPRAY ADEFENPHOS 1 MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY ADEFENPHOS 1 MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED FOR THE APPLICATION OF PLANOFIX 25ML10LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF ANTHRACNOSE,RECOMMENDED FOR THE APPLICATION OF COPPEROXYCHLORIDE 3gmLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF ANTHRACNOSE,RECOMMENDED FOR THE APPLICATION OF COPPEROXYCHLORIDE 3gmLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF SHEATH ROT,RECOMMENDED FOR THE APPLICATION OF CARBENDAZIM 05-10 GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF BLAST,RECOMMENDED FOR THE APPLICATION OF TRICYCHLOZOLE 05GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF STEMBORER,RECOMMENDED FOR THE APPLICATION OF 4KG CARBOFURON GRANULES
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WATER MANAGEMENT,INFOMED TO MAINTAIN 5CM WATER IN FIELD
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WATER MANAGEMENT,INFOMED TO MAINTAIN 5CM WATER IN FIELD
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF STEMBORER,RECOMMENDED FOR THE APPLICATION OF 4KG CARBOFURON  GRANULES
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WEATHER CONDITIONS,INFORMED AS PER THE DATA AVILABLE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE WEATHER CONDITIONS,INFORMED AS PER THE DATA AVILABLE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT INTERCROPING,INFORMMED TO THAT INTERCROPING IS GROUND NUT AND MAIZERED GRAM 7:1 OR 11:1
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE MARKET INFORMATION,INFORMED AS PER THE DATA AVILABLE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE MARKET INFORMATION,INFORMED AS PER THE DATA AVILABLE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT INTERCROPPING,INFORMMED TO THAT INTERCROPING IS GROUND NUT AND MAIZERED GRAM 7:1 OR 11:1
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF GRAMCATERPILLAR,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE SOWING SEASON,INFORMED THAT THE SOWING SEASON IS FROM NOV-15 TO JAN-8
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARIETIES TO GROW IN KURNOOL,RECOMMENDED TO RAISE DEEPTHISAMBAMASOORISONAMASOORI
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF FALSE SMUT,RECOMMENDED FOR THE APPLICATION OF COC 25GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF FALSE SMUT,RECOMMENDED FOR THE APPLICATION OF COC 25GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE SUITABLE VARIETIES TO GROW IN NELLORE,RECOMMENDED TO RAISE SONAMASOORI SAMBAMASOORIDEEPTHI
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE REMOVAL OF SEED DORMANCY IN PADDY,RECOMMENDED TO APPLY 6 ML OF NITRIC ACID KG SEED
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE REMOVAL OF SEED DORMANCY IN PADDY,RECOMMENDED TO APPLY 6 ML OF NITRIC ACID KG SEED
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCO CATERPILLER,RECOMMENDED FOR THE APPLICATION OF QUINOLPHAS 2MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCO CATERPILLER,RECOMMENDED FOR THE APPLICATION OF QUINOLPHAS 2MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POWDERY MILDEW,RECOMMENDED TO SPRAY CARBANDAZIM 1 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT  THE CONTROL OF POWDERY MILDEW,RECOMMENDED TO SPRAY CARBANDAZIM 1 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WHORL MAGGOT,RECOMMENDED FOR THE APPLICATION OF MONOCROTOPHAS 16MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMMENDED TO SPRAY METHYLDEMATON 2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCOCATERPILLAR,RECOMMENDED FOR THE APPLICATION OF CHLORIPYRIPHOS 25MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES,INFORMMED THAT VARIETIES ARE SWATHISATYARASINANDYALASANALU
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHEATH ROT,RECOMMENDED TO SPRAY CARBENDAZIM  1glit OF WATER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCOCATERPILLAR,RECOMMENDED FOR THE APPLICATION OF CHLORIPYRIPHOS 25MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMMENDED TO SPRAY METHYLDEMATON 2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES,INFORMMED THAT VARIETIES ARE SWATHISATYARASINANDYALASANALU
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WHORL MAGGOT,RECOMMENDED FOR THE APPLICATION OF MONOCROTOPHAS 16MLLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 1 GR2 LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY PLANOFIX 2ML10LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF BLAST,RECOMMENDED FOR THE APPLIACTION OF TRICYCHLOZPLE 05GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCOCATERPILLAR,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 25MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POWDERY MILDEW,RECOMMENDED TO SPRAY SULPHUR POWDER 3 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY PLANOFIX 2ML10LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TOBACCOCATERPILLAR,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 25MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POWDERY MILDEW,RECOMMENDED TO SPRAY SULPHUR POWDER 3 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 1 GR2 LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL OF BLAST,RECOMMENDED FOR THE APPLIACTION OF TRICYCHLOZPLE 05GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE APPLICATION OF NAA AND DAP,RECOMMENDED FOR THE APPLICATION OF NAA AND DAP
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF Fe DEFECIENCY,RECOMMENDED FOR THE APPLICATION OF ANNABEDI 30 GM LIMESALT 2GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT FERTILIZER DOSAGE AT 30DAYS CROP,RECOMMENDED FOR THE APPLICATION OF 9KG UREAACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF GRAM CATERPILLAR,RECOMMENDED TO SPRAY ACEPHATE 15 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POWDERYMILDEW,RECOMMENDED TO APPLY CARBANDAZIM 1 GRLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE DCH-32177519JYOTHIHARITHA
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE SOWING SEASON OF SESAME,RECOMMENDED TO RAISE IN JAN-2 AND 3 RD WEEK
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THYE CONTROL OF FLOWER DROP,RECOMMENDED TO SPRAY PLANOFIX 25ML10LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FALSE SMUT,RECOMMENDED TO SPRAY COPPEROXYCHLORIDE 25GMLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDE3D TO SPRAY ADEFENPHOS 1 MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF ROOT GRUB,RECOMMENDED TO APPLY PHORATE 10 GRANULES  5kgacre
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE ZINC DEFICIENCY,RECOMMENDED TO SPRAY 2GM ZINCSULPHATELIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF YELLOWMOSAIC,RECOMMENDED TO SPRAY DIMETHOATE 2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED TO SPRAY SIHALOPOPBUTYL 400ML200LIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARITIES SUITABLE TO THEIR REGION,PROVIDED INFORMATION AS PER THE DATA SONS MASURI145 NANDYALA SONALU 135
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CHILLI,GIVEN INFORMATION IS OCTNOV IS PREFARABLE FOR RABI CROP
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL,RECOMMENDED TO SPRAY PROPHENOPHOS 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO APPLY ACSADIORGIL 80 35GM500MLWATERMIX IT WITH SAND APPLY
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF MIDGE IN WATER MELON,RECOMMENDED TO SPRAY PROPHENOPHOS 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR LEAFSPOT,RECOMMENDED TO SPRAY BAVISTIN 1GRLITRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR LEAFSPOT,RECOMMENDED TO SPRAY BAVISTIN 1GRLITRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT WEATHER,THERE IS NO CHANCE OF RAIN
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR TIKKA DISEASE,RECOMMENDED TO SPRAY CARBENDAZIM 200GR200 LITRESACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR WEEDS CONTROL,RECOMMENDED TO SPRAY PENDIMETHALINE 13-16LITRESACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT ZN DEFICIENCY,RECOMMENDED TO SPRAY ZNSULPHATE 2GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POD BORER IN CHILLIES,RECOMMENDED TO SPRAY QUINOLPHOS2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES FOR GREENGRAM,RECOMMENDED TO PREFER ML-267 OR PUSA 105
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF HELICOVERPA IN TOMATO,REECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF RUST IN GROUND NUT,RECOMMENDED TO SPRAY TRIDIMORPH 2GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS IN CHILLY,RECOMMENDED TO SPRAY PHASOLONE 3MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF LEAF WEBBER IN MANGO,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS IN CHILLIES,RECOMMENDED TO SPRAY PHASOLONE3MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR GALLMIDGE,RECOMMENDED TO APPLY PHORATE 10G 5KGACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR TIKKA LEAF SPOT,RECOMMENDED TO SPRAY CHLOROTHALONIL 400GM200LT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE PREPARATION OF BOURDO MIXTURE,RECOMMENDED TO PREPARE 1BOURDO MIXTURE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR ROOT ROT,RECOMMENDED TO SPRAY MANCOZEB 600GM200LT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARIETIES IN RED GRAM,RECOMMENDED PRG158
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF LEAF MINER,RECOMMENDED TO SPRAY ENDOSULPHAN2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL,RECOMMENDED TO SPRAY PROPHENOPHOS 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TIKKA LEAF SPOT,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GMACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARIETIES OF BANANA,RECOMMENDED VARIETIES ARE KARPURA CHEKKERA KELITELLA CHEKKARA KELIBONTHA POTTI PACHA ARATIPEDDA PACHA ARATI
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR TIKKALEAF SPOT,RECOMMENDED TO SPRAY CHLOROTHALONIL 400GMACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF YELLOW STEM BORER,RECOMMENDED TO SPRAY CARTAP HYDRO CHLORIDE2GRAMSLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE VARIETIES IN CUCURBITS,RECOMMENDED PUSA NASDEER VARIETY
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF POWDERY MILDEW IN MANGO,RECOMMENDED TO SPRAY KARATHANE 1MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR BORON DEFICIENCY,RECOMMENDED TO SPRAY BOROX 2GRLITRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL SUCKING PEST IN CUCURBITS,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE FERTILIZER DOSAGE,RECOMMENDED TO APPLY 50 GM PPIT AND 200GM UREA AND200GM POTASHPLANT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO SPRAY ACEPHATE 15 GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR LEAF SPOT,RECOMMENDED TO SPRAY COC 3GRLITRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL ROOT ROT IN BENGALGRAM,RECOMMENDED TO SPRAY MANCOZEB2GRAMSLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY CHLOROTHALANIL 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR YELLOWING OF LEAVES,ESC TO ATIC
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR POD BORER,RECOMMENDED TO APPLY CELPHOS 3GM
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR TIKKALEAF SPOT,RECOMMENDED TO SPRAY CCHLOROTHALONIL 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES FOR SESAMUM,RECOMMENDED TO CHOOSE SAGARANUTYALU OR MANJEERA
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT VARIETIES,RECOMMENDED TO CHOOSE PUSA NASDHER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR MITES,RECOMMENDED TO SPRAY ACEPHATE 1GMLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHETH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF TIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY CHLOROTHALONIL 2MLLT
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF STEM BORER DAMAGE,RECOMMENDED TO SPRAY CARBOFURAN GRANULES 8 KGACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE SOWING SEASON,INFORMED THAT IT IS FROM JULY TO AUGUST
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT SUBSIDY ON POWER TILLER,GIVEN INFORMATION IS 30000 SUBSIDY ON THAT IT WILL AVAILABLE ON Rs109840
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 06 GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF THRIPS IN CHILLIES,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO SPRAY PENDIMETHALIN 1-15LTAERE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF SHOOT AND FRUIT BORER,RECOMMENDED TO SPRAY PROFINIOPHOS2MLLITER
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED TO SPRAY ATRAZIN 15 LTRACRE
AGRICULTURE,MADHYA PRADESH,ASKED ABOUT THE CONTROL OF CUTRUS CANKER,RECOMMENDED TO APPLY BLITOX 30GMSTREPTOCYLINE 1GM10 LTR WATER
AGRICULTURE,MADHYA PRADESH,ASKED FOR THE CONTROL OF ZINC DEFECIENCY,RECOMMENDED TO SPRAY ZINCSULPHATE 2 GMLTR
AGRICULTURE,MADHYA PRADESH,ASKED FOR THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
